Site_ID,Latitude,Longitude,IGSN,Description,Physiographic_Feature_Name,COMID,RawCOMID_Used,Country,Methods_and_Flags,Submission_Contact_Name,Submission_Contact_Email,Origin_Study_Code
MP-101022,33.6052817,-86.7497169,10.58052/IEWDR01U9,stream,Five Mile Creek,18566327,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101142,37.0422,-80.5627,10.58052/IEWDR01L5,stream,Little River,6884184,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101143,37.3724,-80.8599,10.58052/IEWDR01KP,stream,New River,6908699,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101276,36.08252,-84.575253,10.58052/IEWDR01XO,stream,Crooked Fork,19710385,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101336,46.37655,-90.64121,10.58052/IEWDR01XM,stream,Bad River,1814999,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101527,43.4099,-83.965,10.58052/IEWDR01KR,stream,Saginaw River,13204443,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101583,46.804,-96.798,10.58052/IEWDR01KS,stream,Red River of the North,6667885,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101584,46.9316,-96.78201,10.58052/IEWDR01Y7,stream,Red River of the North,6667827,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101897,38.9329146,-90.3068491,10.58052/IEWDR01Y5,stream,Mississippi River,880824,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-101898,38.86168,-90.13425,10.58052/IEWDR01Y4,stream,Mississippi River,880648,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101915,45.5974,-110.566,10.58052/IEWDR01KT,stream,Yellowstone River,4366016,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-101929,44.847593,-107.305985,10.58052/IEWDR01Y9,stream,Tongue River,5336835,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102055,39.76778,-94.8625,10.58052/IEWDR01UJ,stream,MO River,2252949,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102063,38.984876,-94.973106,10.58052/IEWDR01U5,stream,Kansas River,3730389,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102203,34.675166,-92.161779,10.58052/IEWDR01Y8,stream,Arkansas River,22848175,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102277,30.1982931,-92.4631118,10.58052/IEWDR01UB,stream,Bayou Plaqemarine,15140491,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102281,30.189567,-92.590164,10.58052/IEWDR01UN,stream,Mermentau River,15096243,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102321,29.7624,-95.55825,10.58052/IEWDR01Y0,stream,Buffalo Bayou,1439297,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102322,29.3338,-95.2832,10.58052/IEWDR01KU,stream,Chocolate Bayou,1566256,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102327,31.1355617,-96.8252242,10.58052/IEWDR01UF,stream,Brazos River,5555562,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102337,30.75244,-98.67373,10.58052/IEWDR021T,stream,Llano River,5771725,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102338,30.2457,-97.6915,10.58052/IEWDR01KV,stream,Lower Colorado River,5781917,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-102340,28.8318,-96.5783,10.58052/IEWDR01KW,stream,Lavaca River/Estuary,7843181,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-102358,28.461375,-98.190709,10.58052/IEWDR01XF,stream,Frio River,10664258,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102385,35.776694,-105.658917,10.58052/IEWDR01UK,stream,Rio Mora,20815146,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-102398,39.844312,-105.751041,10.58052/IEWDR01UQ,stream,Fraser River,1239663,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102420,38.85626,-107.05596,10.58052/IEWDR01XY,stream,Coal Creek,1332234,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102534,39.52207,-119.97538,10.58052/IEWDR01Y6,stream,Truckee,8932036,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102600,37.7323106,-121.10824,10.58052/IEWDR01U4,stream,Stanislaus River,2821830,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102602,38.1490173,-121.2992935,10.58052/IEWDR01XJ,stream,Mokelumne River,3953581,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102695,48.8186,-122.5806,10.58052/IEWDR01KY,stream,Nooksack River,23955772,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-102901,46.7322,-117.1805,10.58052/IEWDR01KZ,stream,South Fork Palouse,23459939,TRUE,United States,COMID_Analysis_01; COMID_02; COMID_05,James Stegen,james.stegen@pnnl.gov,CM
MP-102944,45.7124168,-123.7629212,10.58052/IEWDR01YA,stream,Nehalem River,23871899,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103021,34.42521,-81.60461,10.58052/IEWDR01XT,stream,Indian creek,9693728,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103034,33.9959631,-80.9569115,10.58052/IEWDR01XU,stream,Wildcat Creek,9680956,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103089,41.3825,-72.8972,10.58052/IEWDR01L0,stream,Mill River,6177260,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103149,35.8365411,-78.782094,10.58052/IEWDR01UR,stream,Crabtree Creek,8785913,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103224,35.689577,-82.593379,10.58052/IEWDR01XP,stream,Reems Creek,22160728,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103357,33.9485,-117.6118,10.58052/IEWDR01L1,stream,Cucamonga Creek,22563070,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-103380,34.16866,-116.831793,10.58052/IEWDR01XI,stream,South Fork Santa Ana River,22559686,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103531,39.0073,-121.5804,10.58052/IEWDR01KX,stream,Bear/Feather River,7972667,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,CM
MP-103594,39.4803,-106.0468,10.58052/IEWDR01L3,stream,Blue River,1314635,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-103805,40.1047,-77.1803,10.58052/IEWDR01L4,stream,Mountain Creek,4711518,FALSE,United States,COMID_Analysis_01; COMID_06; COMID_05; RawCOMID_4711522; Flag_00,James Stegen,james.stegen@pnnl.gov,CM
MP-103975,40.66522,-111.84597,10.58052/IEWDR01UC,stream,Big Cottonwood Creek,10389524,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
MP-104218,45.537135,-122.379308,10.58052/IEWDR01US,stream,Beaver Creek,23737123,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,CM
NF01,46.742847,-120.929651,10.58052/IEPRS00ZT,stream,North Fork Oak Creek,24424703,TRUE,United States,COMID_Analysis_01; COMID_00,James Stegen,james.stegen@pnnl.gov,PRT
Nisqually (Glacial melt driven),46.73861111,-121.9180556,10.58052/IEWDR028D,stream,Nisqually,24282182,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,48hr
OLC-DR,29.479885,-98.479996,10.58052/IEWDR0229,stream,Olmos Creek,10840810,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,AV1
ONT1,44.1923,-76.5755,10.58052/IEWDR01AL,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
ONT2,44.1923,-76.3964,10.58052/IEWDR01AM,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
ORL2,47.0044,-70.7079,10.58052/IEWDR01CZ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
ORL3,46.9782,-70.687,10.58052/IEWDR01D0,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
QC1,46.8426,-71.1815,10.58052/IEWDR01CX,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
QC2,46.8377,-71.1647,10.58052/IEWDR01CW,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
QC3,46.8349,-71.1566,10.58052/IEWDR01CV,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
QC4,46.8226,-71.2081,10.58052/IEWDR01CY,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
REP1,45.7427,-73.4338,10.58052/IEWDR01BZ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
REP2,45.7416,-73.4243,10.58052/IEWDR01C0,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
REP3,45.7445,-73.4062,10.58052/IEWDR01C1,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
REP4,45.7361,-73.4117,10.58052/IEWDR01BY,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
S000001,44.16357,-122.332589,10.58052/IEWDR026A,stream,Blue River,23773405,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000002,44.219477,-122.24108,10.58052/IEWDR026B,stream,WS3,-9999,N/A,United States,COMID_Analysis_01; COMID_07,James Stegen,james.stegen@pnnl.gov,Minikits
S000003,44.207386,-122.258178,10.58052/IEWDR026C,stream,WS1,-9999,N/A,United States,COMID_Analysis_01; COMID_07,James Stegen,james.stegen@pnnl.gov,Minikits
S000004,44.217143,-122.260991,10.58052/IEWDR026D,stream,WS10,-9999,N/A,United States,COMID_Analysis_01; COMID_07,James Stegen,james.stegen@pnnl.gov,Minikits
S000005,44.210012,-122.257614,10.58052/IEWDR026E,stream,Lookout Creek,23773411,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000006,44.212101,-122.244663,10.58052/IEWDR026F,stream,WS2,-9999,N/A,United States,COMID_Analysis_01; COMID_07,James Stegen,james.stegen@pnnl.gov,Minikits
S000007,44.124286,-122.468282,10.58052/IEWDR026G,stream,McKenzie River,23772909,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000008,35.091,-106.683,10.58052/IEWDR026H,stream,Rio Grande,17819068,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000009,46.254,-119.473454,10.58052/IEWDR026I,stream,Yakima,947030105,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000010,46.54,-120.48,10.58052/IEWDR026J,stream,Ahtanum Creek,1.70E+13,FALSE,United States,COMID_Analysis_01; RawCOMID_947030125; Flag_00,James Stegen,james.stegen@pnnl.gov,Minikits
S000011,35.999387,-84.298959,10.58052/IEWDR026K,stream,East Fork Poplar Creek,22124902,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000012,36.001921,-84.249506,10.58052/IEWDR026L,stream,East Fork Poplar Creek,22124290,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000013,35.966354,-84.357576,10.58052/IEWDR026M,stream,East Fork Poplar Creek,22125640,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000014,30.245112,-97.695781,10.58052/IEWDR026N,stream,Lower Colorado River,5781919,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000017,46.90567,-123.98005,10.58052/IEWDR026O,stream,Beaver Creek,23861269,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000019,46.90567,-123.98005,10.58052/IEWDR026P,stream,Beaver Creek,23861269,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000022,38.509976,-122.883578,10.58052/IEWDR026Q,stream,Russian River,8272693,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000023,38.494121,-122.85312,10.58052/IEWDR026R,stream,Mark West Creek,8273161,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000026,41.733333,-88.333556,10.58052/IEWDR026S,stream,Fox River,14762989,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000030,38.922791,-106.949624,10.58052/IEWDR026T,stream,East River,1332754,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000032,38.957586,-106.987644,10.58052/IEWDR026U,stream,Copper Creek,1332672,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000035,39.99883,-83.023911,10.58052/IEWDR026V,stream,Olentangy,5218153,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000036,41.38247,-82.514685,10.58052/IEWDR026W,stream,Old Woman Creek,15604070,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000044,46.37,-119.27,10.58052/IEWDR026X,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000045,46.373014,-119.272266,10.58052/IEWDR026Y,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000051,35.1946592,-106.6429675,10.58052/IEWDR026Z,stream,Rio Grande,17819088,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000052,35.7783973,-106.6895806,10.58052/IEWDR0270,stream,Jemez River,17826456,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000054,46.373104,-119.272205,10.58052/IEWDR0271,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000055,46.373073,-119.272254,10.58052/IEWDR0272,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000056,46.347558,-119.280801,10.58052/IEWDR0273,stream,Columbia River,24415128,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000059,39.238368,-84.711626,10.58052/IEWDR0274,stream,Great Miami River,3886082,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000060,46.372781,-119.271912,10.58052/IEWDR0275,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000061,60.532685,-145.380946,10.58052/IEWDR0276,stream,Tributary to the Sheridan Glacier River,-9999,N/A,United States,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000062,60.516477,-144.862757,10.58052/IEWDR0277,stream,Copper River,-9999,N/A,United States,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000063,46.372979,-119.272181,10.58052/IEWDR0278,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000065,69.12972222,-104.9944444,10.58052/IEWDR0279,stream,Freshwater Creek,-9999,N/A,Canada,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000073,46.359512,-119.271805,10.58052/IEWDR027A,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000084,46.50219021,-119.2606988,10.58052/IEWDR027B,stream,Columbia River,1.70E+13,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000085,46.587056,-119.368194,10.58052/IEWDR027C,stream,Columbia River,947020557,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000086,-36.554713,147.405241,10.58052/IEWDR027D,stream,Snowy Creek,-9999,N/A,Australia,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000087,-35.47952,144.830925,10.58052/IEWDR027E,stream,Wakool River,-9999,N/A,Australia,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000098,37.0449,-122.0714,10.58052/IEWDR027F,stream,San Lorenzo River,17682474,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000110,38.957586,-106.987644,10.58052/IEWDR027G,stream,Copper Creek,1332672,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000112,38.922889,-106.949556,10.58052/IEWDR027H,stream,East River,1332754,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000125,35.193491,-106.643465,10.58052/IEWDR027I,stream,Rio Grande,17819088,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000126,35.827687,-106.643643,10.58052/IEWDR027J,stream,East Fork Jemez River,17826372,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000127,34.949722,-106.681195,10.58052/IEWDR027K,stream,Rio Grande,17808622,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000128,35.847429,-106.491267,10.58052/IEWDR027L,stream,East Fork Jemez River,17826274,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000129,35.668419,-106.743579,10.58052/IEWDR027M,stream,Jemez River,17826716,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000130,35.778372,-106.689537,10.58052/IEWDR027N,stream,Jemez River,17826456,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000132,47.3965,-121.3812,10.58052/IEWDR027O,stream,Gold Creek,24126189,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000134,46.41963,-120.3332,10.58052/IEWDR027P,stream,Yakima River,23099786,FALSE,United States,COMID_Analysis_01; RawCOMID_23102238; Flag_00,James Stegen,james.stegen@pnnl.gov,Minikits
S000140,35.609161,-82.5780199,10.58052/IEWDR027Q,stream,French Broad River,22162094,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000141,35.9614998,-83.1734237,10.58052/IEWDR027R,stream,Pigeon,22150581,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000142,34.9729394,-90.8852547,10.58052/IEWDR027S,stream,L' Anguille,22865239,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000143,36.1849251,-85.9063167,10.58052/IEWDR027T,stream,Caney Fork,18421703,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000144,40.108128,-83.034656,10.58052/IEWDR027U,stream,Olentangy,5215055,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000145,40.096636,-83.110276,10.58052/IEWDR027V,stream,Scioto River,5215671,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000148,35.5684757,-82.5451142,10.58052/IEWDR027W,stream,Swannanoa,22161688,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,Minikits
S000155,46.732372,-117.1808777,10.58052/IEWDR027X,stream,South Fork Palouse River,23459939,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000156,46.7323325,-117.1808314,10.58052/IEWDR027Y,stream,South Fork Palouse River,23459939,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000157,46.732345,-117.18081,10.58052/IEWDR027Z,stream,South Fork Palouse River,23459939,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000166,38.863608,-107.03354,10.58052/IEWDR0280,stream,Coal Creek,1332234,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,Minikits
S000173,68.28346,-149.37181,10.58052/IEWDR0281,stream,Trevor Creek,-9999,N/A,United States,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000174,68.64316,-149.40315,10.58052/IEWDR0282,stream,Kuparak,-9999,N/A,United States,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000175,68.686,-149.09898,10.58052/IEWDR0283,stream,Oksrukuyik,-9999,N/A,United States,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000188,-29.50064,30.2206,10.58052/IEWDR0284,stream,Mzimvubu River,-9999,N/A,South Africa,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000189,-30.85071,29.06927,10.58052/IEWDR0285,stream,Tsomo River,-9999,N/A,South Africa,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000191,-24.028378,30.168665,10.58052/IEWDR0286,stream,Thabina River,-9999,N/A,South Africa,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000192,-29.49912,30.22189,10.58052/IEWDR0287,stream,Umgeni,-9999,N/A,South Africa,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000251,27.7,85.3,10.58052/IEWDR0288,stream,Bishnumati,-9999,N/A,Nepal,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S000252,27.667,85.167,10.58052/IEWDR0289,stream,Bagmati,-9999,N/A,Nepal,COMID_08,James Stegen,james.stegen@pnnl.gov,Minikits
S01,46.976,-121.1579,10.58052/IEPRS00TW,stream,American River,24422913,FALSE,United States,COMID_Analysis_00; COMID_06; RawCOMID_24422911; Flag_00,James Stegen,james.stegen@pnnl.gov,SSS
S02,46.9754,-121.158,10.58052/IEPRS00TX,stream,Bumping River,24422975,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,SSS
S03,47.0195,-121.1285,10.58052/IEPRS00TY,stream,Quartz Creek,24423897,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,SSS
S04,46.8099,-121.0672,10.58052/IEPRS00TZ,stream,North Fork Rattlesnake Creek,24423139,FALSE,United States,COMID_Analysis_00; COMID_06; RawCOMID_24423137; Flag_00,James Stegen,james.stegen@pnnl.gov,SSS
S08,47.0171,-121.1357,10.58052/IEPRS00U0,stream,Little Naches River,24422831,TRUE,United States,COMID_Analysis_00; COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov,SSS
S10,46.8095,-121.0675,10.58052/IEPRS00U1,stream,Rattlesnake Creek,24423157,FALSE,United States,COMID_Analysis_00; COMID_06; RawCOMID_24423137; Flag_00,James Stegen,james.stegen@pnnl.gov,SSS
S11,46.9006,-121.2466,10.58052/IEPRS00U2,stream,Bumping River,24422999,TRUE,United States,COMID_Analysis_00; COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov,SSS
S12,47.05638,-121.26788,10.58052/IEPRS00UP,stream,South Fork Little Naches River,24422871,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,N/A
S13R,47.420551,-121.086972,10.58052/IEPRS007V,stream,Cle Elum River,24125883,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,SPS
S14,47.41986,-121.087854,10.58052/IEPRS007W,stream,Waptus River,24125945,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,SPS
S15,47.363498,-121.106919,10.58052/IEPRS007X,stream,Thorp Creek,24126041,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,SPS
S16,47.42067,-121.14629,10.58052/IEPRS00UQ,stream,Cooper River,24126011,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,N/A
S17,47.39473,-121.10328,10.58052/IEPRS00UR,stream,Cooper River,24125999,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,N/A
S17R,47.394429,-121.10174,10.58052/IEPRS007Y,stream,Cooper River,24125999,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,SPS
S18,47.39479,-121.09626,10.58052/IEPRS00US,stream,Cle Elum River,24125873,TRUE,United States,COMID_Analysis_00; COMID_00,James Stegen,james.stegen@pnnl.gov,N/A
S18R,47.39603,-121.096933,10.58052/IEPRS007Z,stream,Cle Elum River,24125873,TRUE,United States,COMID_Analysis_00; COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov,SPS
S19,47.258225,-120.904118,10.58052/IEPRS0080,stream,West Fork Teanaway River,24125729,TRUE,United States,COMID_Analysis_00; COMID_00; COMID_05,James Stegen,james.stegen@pnnl.gov,SPS
